bidPrice,"[186.1, 186.0, 185.78, 0.0, 0.0]"
bidVol,"[3, 1, 2, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.32
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,92532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:12
volume,925
,603444.SH
amount,17407500.0
askPrice,"[186.3, 186.31, 186.32, 0.0, 0.0]"
askVol,"[1, 2, 1, 0, 0]"
bidPrice,"[186.02, 186.0, 185.78, 0.0, 0.0]"
bidVol,"[1, 1, 2, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.02
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,93832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:15
volume,938
,603444.SH
amount,17574800.0
askPrice,"[186.0, 186.01, 186.02, 0.0, 0.0]"
askVol,"[1, 1, 4, 0, 0]"
bidPrice,"[185.66, 185.27, 185.21, 0.0, 0.0]"
bidVol,"[3, 1, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.70000000000002
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,94732
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:18
volume,947
,603444.SH
amount,17853600.0
askPrice,"[186.02, 186.08, 186.09, 0.0, 0.0]"
askVol,"[1, 1, 1, 0, 0]"
bidPrice,"[185.35, 185.34, 185.33, 0.0, 0.0]"
bidVol,"[2, 7, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,96232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:21
volume,962
,603444.SH
amount,18039500.0
askPrice,"[186.1, 186.23, 186.29, 0.0, 0.0]"
askVol,"[3, 1, 1, 0, 0]"
bidPrice,"[185.46, 185.45000000000002, 185.44, 0.0, 0.0]"
bidVol,"[4, 2, 6, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.1
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,97232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:24
volume,972
,603444.SH
amount,18132400.0
askPrice,"[186.1, 186.23, 186.29, 0.0, 0.0]"
askVol,"[12, 1, 1, 0, 0]"
bidPrice,"[185.57, 185.56, 185.55, 0.0, 0.0]"
bidVol,"[2, 2, 2, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.54
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,97732
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:27
volume,977
,603444.SH
amount,18299800.0
askPrice,"[186.0, 186.02, 186.08, 0.0, 0.0]"
askVol,"[4, 1, 10, 0, 0]"
bidPrice,"[185.91, 185.61, 185.6, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.89000000000001
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,98632
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:30
volume,986
,603444.SH
amount,18392700.0
askPrice,"[186.0, 186.02, 186.04, 0.0, 0.0]"
askVol,"[4, 1, 7, 0, 0]"
bidPrice,"[185.72, 185.61, 185.6, 0.0, 0.0]"
bidVol,"[2, 1, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.72
